A	B
0.0728	-210.30938
0.0729	-210.15
0.073	-209.99068
0.0731	-209.83142
0.0732	-209.67222
0.0733	-209.51308
0.0734	-209.35399
0.0735	-209.19494
0.0736	-209.03594
0.0737	-208.87699
0.0738	-208.71807
0.0739	-208.55918
0.074	-208.40033
0.0741	-208.2415
0.0742	-208.0827
0.0743	-207.92392
0.0744	-207.76516
0.0745	-207.60642
0.0746	-207.44769
0.0747	-207.28897
0.0748	-207.13025
0.0749	-206.97154
0.075	-206.81283
0.0751	-206.65412
0.0752	-206.49541
0.0753	-206.33668
0.0754	-206.17795
0.0755	-206.0192
0.0756	-205.86044
0.0757	-205.70166
0.0758	-205.54286
0.0759	-205.38404
0.076	-205.22519
0.0761	-205.06632
0.0762	-204.90741
0.0763	-204.74848
0.0764	-204.5895
0.0765	-204.4305
0.0766	-204.27145
0.0767	-204.11236
0.0768	-203.95324
0.0769	-203.79406
0.077	-203.63484
0.0771	-203.47558
0.0772	-203.31626
0.0773	-203.15689
0.0774	-202.99747
0.0775	-202.83799
0.0776	-202.67846
0.0777	-202.51887
0.0778	-202.35922
0.0779	-202.19951
0.078	-202.03974
0.0781	-201.87991
0.0782	-201.72001
0.0783	-201.56005
0.0784	-201.40002
0.0785	-201.23992
0.0786	-201.07976
0.0787	-200.91953
0.0788	-200.75923
0.0789	-200.59886
0.079	-200.43842
0.0791	-200.2779
0.0792	-200.11732
0.0793	-199.95666
0.0794	-199.79593
0.0795	-199.63513
0.0796	-199.47425
0.0797	-199.3133
0.0798	-199.15227
0.0799	-198.99117
0.08	-198.83
0.0801	-198.66875
0.0802	-198.50743
0.0803	-198.34604
0.0804	-198.18457
0.0805	-198.02303
0.0806	-197.86141
0.0807	-197.69972
0.0808	-197.53796
0.0809	-197.37613
0.081	-197.21422
0.0811	-197.05225
0.0812	-196.8902
0.0813	-196.72808
0.0814	-196.5659
0.0815	-196.40364
0.0816	-196.24132
0.0817	-196.07893
0.0818	-195.91647
0.0819	-195.75395
0.082	-195.59136
0.0821	-195.42871
0.0822	-195.266
0.0823	-195.10322
0.0824	-194.94039
0.0825	-194.7775
0.0826	-194.61454
0.0827	-194.45153
0.0828	-194.28847
0.0829	-194.12535
0.083	-193.96218
0.0831	-193.79895
0.0832	-193.63567
0.0833	-193.47235
0.0834	-193.30897
0.0835	-193.14555
0.0836	-192.98209
0.0837	-192.81858
0.0838	-192.65502
0.0839	-192.49143
0.084	-192.3278
0.0841	-192.16412
0.0842	-192.00041
0.0843	-191.83667
0.0844	-191.67289
0.0845	-191.50908
0.0846	-191.34524
0.0847	-191.18137
0.0848	-191.01747
0.0849	-190.85354
0.085	-190.68959
0.0851	-190.52562
0.0852	-190.36163
0.0853	-190.19761
0.0854	-190.03357
0.0855	-189.86952
0.0856	-189.70545
0.0857	-189.54137
0.0858	-189.37727
0.0859	-189.21317
0.086	-189.04905
0.0861	-188.88492
0.0862	-188.72078
0.0863	-188.55664
0.0864	-188.3925
0.0865	-188.22835
0.0866	-188.06419
0.0867	-187.90004
0.0868	-187.73589
0.0869	-187.57173
0.087	-187.40758
0.0871	-187.24344
0.0872	-187.0793
0.0873	-186.91516
0.0874	-186.75103
0.0875	-186.58691
0.0876	-186.4228
0.0877	-186.2587
0.0878	-186.09461
0.0879	-185.93054
0.088	-185.76647
0.0881	-185.60242
0.0882	-185.43838
0.0883	-185.27436
0.0884	-185.11036
0.0885	-184.94637
0.0886	-184.7824
0.0887	-184.61845
0.0888	-184.45451
0.0889	-184.2906
0.089	-184.1267
0.0891	-183.96283
0.0892	-183.79898
0.0893	-183.63514
0.0894	-183.47133
0.0895	-183.30754
0.0896	-183.14378
0.0897	-182.98003
0.0898	-182.81631
0.0899	-182.65261
0.09	-182.48894
0.0901	-182.32528
0.0902	-182.16165
0.0903	-181.99805
0.0904	-181.83446
0.0905	-181.67091
0.0906	-181.50737
0.0907	-181.34386
0.0908	-181.18037
0.0909	-181.0169
0.091	-180.85345
0.0911	-180.69003
0.0912	-180.52663
0.0913	-180.36326
0.0914	-180.1999
0.0915	-180.03657
0.0916	-179.87325
0.0917	-179.70996
0.0918	-179.54669
0.0919	-179.38344
0.092	-179.2202
0.0921	-179.05699
0.0922	-178.89379
0.0923	-178.73062
0.0924	-178.56746
0.0925	-178.40431
0.0926	-178.24119
0.0927	-178.07807
0.0928	-177.91498
0.0929	-177.7519
0.093	-177.58883
0.0931	-177.42578
0.0932	-177.26274
0.0933	-177.09971
0.0934	-176.93669
0.0935	-176.77368
0.0936	-176.61069
0.0937	-176.4477
0.0938	-176.28472
0.0939	-176.12175
0.094	-175.95879
0.0941	-175.79584
0.0942	-175.63289
0.0943	-175.46995
0.0944	-175.30701
0.0945	-175.14408
0.0946	-174.98115
0.0947	-174.81822
0.0948	-174.6553
0.0949	-174.49238
0.095	-174.32946
0.0951	-174.16654
0.0952	-174.00363
0.0953	-173.84071
0.0954	-173.6778
0.0955	-173.51488
0.0956	-173.35196
0.0957	-173.18904
0.0958	-173.02612
0.0959	-172.8632
0.096	-172.70027
0.0961	-172.53735
0.0962	-172.37442
0.0963	-172.21148
0.0964	-172.04855
0.0965	-171.88561
0.0966	-171.72266
0.0967	-171.55972
0.0968	-171.39677
0.0969	-171.23382
0.097	-171.07086
0.0971	-170.9079
0.0972	-170.74494
0.0973	-170.58197
0.0974	-170.41901
0.0975	-170.25604
0.0976	-170.09307
0.0977	-169.93009
0.0978	-169.76712
0.0979	-169.60414
0.098	-169.44117
0.0981	-169.27819
0.0982	-169.11522
0.0983	-168.95225
0.0984	-168.78928
0.0985	-168.62632
0.0986	-168.46335
0.0987	-168.3004
0.0988	-168.13745
0.0989	-167.9745
0.099	-167.81157
